Operator Company	Exchange	Project Ownership	Project Name	Commodities	Resource	Stage	Project Country	Project State Or Province	Longitude	Latitude	Mineral District	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Verified Project Area Ha	Article Link	Contact/CEO	Aggregate Deal Value ($)	Interest Acquired %	Acquisition Details	Option Period (y)	Aggregate deal value ($)	Sum of Cash Payments ($)	Exploration commitments ($)	Cash + Shares ($)	Calculated Cash + Share value column ($)	Share Value ($)	sum of Cash + Calculated Share value ($)	Calculated Share Value ($)	Number of Shares sold	Share Price ($)	NSR %	Article Date
Harris Belt Holdings Pty Ltd	ASX:CR3	Operator: Harris Belt Holdings Pty Ltd  Owner: Harris Belt Holdings Pty Ltd (100%) Optioner: Harris Belt Holdings Pty Ltd, Optionee: Core Energy Minerals Ltd.	Cummins	U	71.6 Mlbs U3O8 @ 620ppm	Early Stage	Australia	South Australia	135.5913694	-34.32493458		95159.40	3754763.364				Acquisition of Two Highly Prospective Uranium Projects	Project Acquisition	  95,200 	https://app.mininghub.com/article/84661	Tony Greenaway, Executive Director		100%	Up to 100% (Staged option to acquire Cummins Project and Harris Greenstone Project)			60000	-		835000	775000	#VALUE!	#VALUE!	-		1	20/01/2025 16:14:27
Red Hill Minerals Limited	ASX:RHI	Operator: Red Hill Minerals Limited  Owner: Peel Mining Limited (100%) Optioner: Peel Mining Limited, Optionee: Red Hill Minerals Limited	Curnamona	Cu,Au,Co,Zn,Pb,Ag,U	4.2Mt @ 0.52% Copper	Early Stage	Australia	South Australia	140.5790878	-32.57234214		123006.06	38351579.244	189176493.75			$6.5M Farm-in on Peel's Curnamona Project	Project Acquisition	  140,000 	https://app.mininghub.com/article/64262	Joshua Pitt, Red Hill’s Executive Chairman		75%	Up to 75% (Red Hill Minerals to earn-in at Curnamona Project from Peel Mining)			6500000	4550000		6500000		#VALUE!	#VALUE!	-	3.32	1.5	04/07/2024 16:22:12
Terra Metals Limited	ASX:TM1	Operator: Terra Metals Limited  Owner: Terra Metals Limited (100%)	Dante	Cu,Pt,Pd,Au,Ni,V,Ti	390Mt @ 0.30% Cu	Advanced Exploration	Australia	Western Australia	127.6578309	-25.75745402		122872.70	7745066.178	7745066.178			Option to Expand Dante Project	Project Acquisition	  61,800 	https://app.mininghub.com/article/85535	Mr Thomas Line, Managing Director and CEO		100%	Option to acquire 100% of HRM Exploration Pty Ltd			-	-		#VALUE!		#VALUE!	731249.991	27083333	0.027		28/01/2025 16:14:06
Capricorn Metals Ltd	ASX:CMM	Operator: Capricorn Metals Ltd  Owner: Capricorn Metals Ltd (100%) NSR: Peregrine Gold Ltd (1%) NSR: Peregrine Gold Ltd (1.5%)	Deadmans Flat	Au		Advanced Exploration	Australia	Western Australia	119.4184866	-23.79032566		27278.68	3356776989.09	3356776989.09			PGD: Sale of Deadman Flat Project to Capricorn Complete	Project Acquisition	  27,000 	https://app.mininghub.com/article/87941	Mark Clark, Executive Chairman		100%	Acquisition of 100% of Deadman Flat Project tenements (by Capricorn Metals)			1005000	-		2005000	1000000	#VALUE!	#VALUE!	-	9.38	1	16/02/2025 22:05:56
QMines Limited	ASX:QML	Operator: QMines Limited  Owner: QMines Limited (100%)	Develin Creek	Cu	15.1Mt @ 1.3% CuEq for 195,800t CuEq	Early Stage	Australia	Queensland	149.8566647	-23.24677015		26758.64	16727212.554	16727212.554			Completion of Strategic Develin Creek Acquisition	Project Acquisition	  -   	https://app.mininghub.com/article/73059	Andrew Sparke, QMines Executive Chairman		100%	Completion of 100% acquisition of Develin Creek project (by QMines)			975000	-	1662500	1662500	687500	1313619.402	338619.402	10261194	0.033		29/09/2024 18:00:38
Great Divide Mining Ltd	ASX:GDM	Operator: Great Divide Mining Ltd  Owner: Great Divide Mining Ltd (100%)	Devils Mountain	Au,Cu	4.0 Moz Au	Advanced Exploration	Australia	Queensland	152.411023	-26.07958182		28326.44	13880110.86	13880110.86			GDM completes Devils Mountain tenement acquisition	Project Acquisition	  -   	https://app.mininghub.com/article/73814	Justin Haines, Chief Executive Offer		100%	Acquisition of 100% of EPM 26062 and EPM 26135 (by GDM)			-	-		#VALUE!	315000	#VALUE!	422625	918750	0.46		03/10/2024 22:25:42
Macro Metals Limited	ASX:M4M	Operator: Macro Metals Limited  Owner: Firebird Metals Limited (100%) Optioner: Firebird Metals Limited, Optionee: Macro Metals Limited	Disraeli	Mn	70.9 Mt @ 9.6% Mn	Early Stage	Australia	Western Australia	121.2060605	-22.10833329		6982.34	10677105.075	31659340.224			FIREBIRD COMPLETES FARM-OUT WITH MACRO METALS	Project Acquisition	  -   	https://app.mininghub.com/article/74650	Simon Rushton, Managing Director		80%	Farm-out of 80% interest in certain DSO Manganese Assets to Macro Metals (by Firebird)			-	78750		#VALUE!		#VALUE!	#VALUE!	-	0.01		14/10/2024 17:12:06
SQM Australia	ASX:BML	Operator: SQM Australia  Owner: Kali Metals Limited (70%) Owner: SQM Australia (30%) Optioner: Kali Metals Limited, Optionee: SQM Australia	DOM's Hill	Li		Early Stage	Australia	Western Australia	119.5264082	-20.75762904		22738.67	6823341.48				Kali Expands Pilbara Joint Venture with SQM	Project Acquisition	  -   	https://app.mininghub.com/article/73868	Paul Adams, Managing Director		100%	Acquisition of 100% of new tenements (E45/6646, E45/6647, E45/6457) by Kali Metals; SQM to earn 50% in expanded JV			100000	1050000		100000		#VALUE!	#VALUE!	-			06/10/2024 18:24:26
Greenvale Energy Ltd	ASX:SMR	Operator: Greenvale Energy Ltd  Owner: Gempart (NT) Pty Ltd. (100%) Optioner: Gempart (NT) Pty Ltd., Optionee: Greenvale Energy Ltd	Douglas River	U		Early Stage	Australia	Northern Territory	131.4784509	-13.84813001		46320.09	24121173.824	24121173.824			Acquisition of High-Potential Uranium Project (Re-Release)	Project Acquisition	  -   	https://app.mininghub.com/article/70357	Mark Turner, Greenvale CEO		80%	Acquisition of initial 80% interest in Douglas River Uranium Project (by Greenvale)			-	-		#VALUE!		#VALUE!	#VALUE!	-		1.5	04/09/2024 16:51:50
Resolution Minerals Ltd	ASX:LSR	Operator: Resolution Minerals Ltd  Owner: DEVIL PROSPECTING PTY LTD (100%) Optioner: DEVIL PROSPECTING PTY LTD, Optionee: Resolution Minerals Ltd	Drake East	Sb,Au	300000m3 @ 1g/t Au containing 0.75t Au	Early Stage	Australia	New South Wales	152.4444395	-28.75654978		10812.58	4206294.84	4206294.84			High Grade Antimony and Antimony-Gold Acquisition Update	Project Acquisition	  19,400 	https://app.mininghub.com/article/92569	Aharon Zaetz, RML’s Executive Director		100%	Acquisition of 100% of share capital of DEVIL PROSPECTING and 1205 PTY LTD (by RML)			46900	-	214400	214400	167500	214400	167500	25,000,000	0.0067		25/03/2025 19:39:15
Trinex Minerals Limited	ASX:PKO	Operator: Trinex Minerals Limited  Owner: South Australia Lithium Pty Ltd  (100%) Optioner: South Australia Lithium Pty Ltd , Optionee: Trinex Minerals Limited	Dudley	Li		Early Stage	Australia	South Australia	138.0287916	-35.77498974		2701.07	1878652.291	1878652.291			Trinex Expands Lithium Portfolio into South Australia	Project Acquisition	  -   	https://app.mininghub.com/article/74552	Will Dix, Trinex Minerals’ Managing Director		90%	Up to 90% in Dudley Lithium Project (Farm-in) and 100% in EYL Project (Acquisition) (by Trinex)			670000000	980000	418750	670335000	335000	#VALUE!	#VALUE!	-		2	13/10/2024 17:13:49
Dundas Minerals Limited	ASX:GIB	Operator: Dundas Minerals Limited  Owner: Dundas Minerals Limited (100%)	Dundas	Au,Ni,Cu		Advanced Exploration	Australia	Western Australia	122.6969512	-32.78882106		11831.48	2358803.612	2358803.612			Trading Halt	Project Acquisition	  -   	https://app.mininghub.com/article/61411	Shane Volk, Managing Director			Project acquisition pending announcement			-	-		#VALUE!		#VALUE!	#VALUE!	-			27/08/2023 17:37:07
Amery Holdings Pty Ltd	ASX:FAL	Operator: Amery Holdings Pty Ltd  Owner: Amery Holdings Pty Ltd (100%) Optioner: Amery Holdings Pty Ltd, Optionee: Forrestania Resources Limited	E15/1972	Au		Early Stage	Australia	Western Australia	121.1916568	-30.82493863		881.75	8660997.147				Key New Tenement under Option at Bonnie Vale	Project Acquisition	  -   	https://app.mininghub.com/article/81951	John Hannaford, Chairman		100%	Option to acquire 100% of tenement E 15/1972 (by Forrestania Resources)			15000	-		50000	35000	#VALUE!	#VALUE!	-			15/12/2024 15:30:49
Stanmore Resources Limited	ASX:JAV	Operator: Stanmore Resources Limited  Owner: Stanmore Resources Limited (100%)	Eagle Downs	Coal		Mining	Australia	Queensland	148.203858	-22.18954834			1550393610.48	1550393610.48			Completion of Eagle Downs transactions	Project Acquisition	  -   	https://app.mininghub.com/article/68138	Marcelo Matos, CEO		100%	Acquisition of 100% of Eagle Downs Project (by Stanmore)			20100000	-		20100000		#VALUE!	#VALUE!	-	1.935		12/08/2024 16:15:21
Lodestar Minerals Limited	ASX:CTN	Operator: Lodestar Minerals Limited  Owner: Lodestar Minerals Limited (100%)	Earaheedy	Zn,Pb,Ag		Early Stage	Australia	Western Australia	121.2168605	-25.30348827		79946.74	4457933.508	4457933.508			Tenement Granted at Earaheedy and Ned's Creek Update	Project Acquisition	  -   	https://app.mininghub.com/article/76172	Ed Turner, Lodestar Managing Director		100%	of granted tenement E69/3532 (to Lodestar)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.006		27/10/2024 17:24:45
Peako Limited	TSXV:NORR	Operator: Peako Limited  Owner: Peako Limited (100%)	Eastman	PG3 (Pd, Pl, Pt),Ni,Cu		Early Stage	Australia	Western Australia	126.5520979	-18.69631536		47675.34	4463225.88	4463225.88			New Tenements Granted at East Kimberley Project	Project Acquisition	  -   	https://app.mininghub.com/article/78002	Ryan Skeen, CEO		100%	of granted tenements E80/5704 and E80/5703 (to Peako)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.003		06/11/2024 16:53:38
Gibb River Diamonds Limited	ASX:LML	Owner: Gibb River Diamonds Limited (100%)	Edjudina	Au	378,000 tonnes @ 1.9 g/t Au containing 24,000 oz	Early Stage	Australia	Western Australia	122.5053106	-29.80524784		6560.93	8151358.91	8151358.91			GIB: Acq'n of New Mining Lease at Edjudina Gold Project WA	Project Acquisition	  -   	https://app.mininghub.com/article/70039	Jim Richards, Executive Chairman		100%	Acquisition of 100% of Mining Lease M31/481 (by GIB)			-	-		#VALUE!		#VALUE!	105000	3000000	0.035		02/09/2024 17:13:41
Red Mountain Mining Limited	ASX:AAJ	Operator: Red Mountain Mining Limited  Owner: Red Mountain Mining Limited (100%)	ELA6810	Sb	90,000 tonnes	Early Stage	Australia	New South Wales	150.6641413	-30.35795403		39078.16	2789746.776	2789746.776			Antimony Project Acquired in Australia's Premier Province	Project Acquisition	  39,100 	https://app.mininghub.com/article/79920	Mauro Piccini, Company Secretary		100%	of granted Exploration Licence (ELA6810) (to RMX)			-	-		#VALUE!		#VALUE!	#VALUE!	-			25/11/2024 16:22:26
Errawarra Resources Ltd	ASX:MM8	Operator: Errawarra Resources Ltd  Owner: Alien Metals Ltd (100%) Optioner: Alien Metals Ltd, Optionee: Errawarra Resources Ltd	Elizabeth Hill	Ag		Advanced Exploration	Australia	Western Australia	116.8210628	-21.10946547		18739.44	4056228.39	4056228.39			Acquisition of Elizabeth Hill Silver Project & $3M Placement	Joint Venture,Project Acquisition	  18,000 	https://app.mininghub.com/article/92185	Thomas Reddicliffe, Executive Chairman		70%	Acquisition of 70% of Elizabeth Hill Silver Project & related silver rights/tenements (by Errawarra)			600000	700000		600000		13505000	12905000	44500000	0.29	2	23/03/2025 18:21:01
Greenvale Energy Ltd	ASX:MRR	Operator: Greenvale Energy Ltd  Owner: Gempart (NT) Pty Ltd. (100%) Optioner: Gempart (NT) Pty Ltd., Optionee: Greenvale Energy Ltd	Elkedra	U		Early Stage	Australia	Northern Territory	135.6587261	-21.55848115		56497.71	24121173.824	24121173.824			Greenvale adds fourth highly prospective NT uranium project	Project Acquisition	  56,600 	https://app.mininghub.com/article/79337	Mark Turner, Greenvale CEO		80%	Acquisition of initial 80% interest in Elkedra Uranium Project (by Greenvale)			10000	-		10000		#VALUE!	#VALUE!	-		1.5	19/11/2024 15:20:46
Qld Aus Graphite Pty Ltd 	ASX:KOR	Operator: Qld Aus Graphite Pty Ltd   Owner: Moho Resources Limited (100%) Optioner: Moho Resources Limited, Optionee: Qld Aus Graphite Pty Ltd 	Empress Springs	Au		Advanced Exploration	Australia	Queensland	142.4105014	-18.77952708		340362.00	2923498.296				Sale of Empress Springs	Project Acquisition	  -   	https://app.mininghub.com/article/87188	Peter Christie, Chairman		70%	Sale of its interest in Empress Springs Project (by Moho, previously earned up to 70%)			1258000	-		1258000		#VALUE!	#VALUE!	-		1	09/02/2025 15:25:55
Koonenberry Gold Limited	BZ:CA	Operator: Koonenberry Gold Limited  Owner: Global Uranium And Enrichment Ltd (100%) Optioner: Global Uranium And Enrichment Ltd, Optionee: Koonenberry Gold Limited	Enmore	Au,Cu	26.6k oz Au @ 8.7g/t Au	Advanced Exploration	Australia	New South Wales	151.7805716	-30.75392534		30165.00	42342936.48	42342936.48			KNB expands Enmore Project, securing gold-antimony targets	Project Acquisition	  13,400 	https://app.mininghub.com/article/89057	Dan Power, Managing Director		100%	Acquisition of 100% of Enmore Gold Project EL and 100% of Gilmore Metals Pty Ltd (by KNB)			3831981	-		8331981	4500000	#VALUE!	#VALUE!	-		2	24/02/2025 16:38:07
Falcon Metals Ltd	TSXV:OZ	Operator: Falcon Metals Ltd  Owner: Errawarra Resources Ltd (100%) Optioner: Errawarra Resources Ltd, Optionee: Falcon Metals Ltd	Errabiddy	Au	16.3Mt @ 1.0g/t for 510,000 ounces of gold	Early Stage	Australia	Western Australia	116.3721227	-25.59285728		51935.95	17700000	17700000			Falcon Acquires Craton Margin Gold Project in WA	Project Acquisition	  50,400 	https://app.mininghub.com/article/80113	Tim Markwell, Managing Director			Farm-out to Falcon Metals, Falcon to earn up to 70% of E09/2457 (from Errawarra)			80000	-		80000		#VALUE!	#VALUE!	-	0.12	2	26/11/2024 17:00:52
Javelin Minerals Limited	GPAC:CA	Operator: Javelin Minerals Limited  Owner: Javelin Minerals Limited (100%)	Eureka	Au	2,452,000 t @ 1.42 g/t Au containing 112,000 Oz Gold	Advanced Exploration	Australia	Western Australia	121.262521	-30.3357498		720.74	18138447.492	18138447.492			Completion of Eureka Acquisition and Board Appointment	Management Changes,Project Acquisition	  -   	https://app.mininghub.com/article/81865	Brett Mitchell, Executive Chairman		100%	Completion of 100% acquisition of Eureka Gold Project (by Javelin)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.002		12/12/2024 16:39:53
Catalina Resources Ltd	ASX:WA8	Operator: Catalina Resources Ltd  Owner: Catalina Resources Ltd (100%)	Evanston	Au	752koz @ 3.5 g/t Au	Early Stage	Australia	Western Australia	119.6259895	-29.64950817		18370.47	3032523.784	3032523.784			DRE: Divestment of Evanston and Yerilgee Projects	Project Acquisition	  65,000 	https://app.mininghub.com/article/81547	Sanjay Loyalka, Executive Chairman		100%	Acquisition of 100% of Yerilgee and Evanston greenstone belts (by Catalina from Dreadnought)			250000	-		1250000	1000000	395000	145000	72500000	0.002	1	10/12/2024 15:44:49
Currawong Resources Pty Ltd	GPS (NORR)	Operator: Currawong Resources Pty Ltd  Owner: Currawong Resources Pty Ltd (100%) Optioner: Currawong Resources Pty Ltd, Optionee: Norrland Gold Corp.	Everton	Mo		Advanced Exploration	Australia	Victoria	146.5923054	-36.43074843		22377.56	1376000		https://www.norrlandgold.com		Purchase of Critical Minerals Project In Australia ("Everton Project")	Project Acquisition	  -   	https://app.mininghub.com/article/90975							-	-		#VALUE!		#VALUE!	140000	2000000	0.07		13/03/2025 02:05:00
Lincoln Minerals Limited	ASX:CHN	Operator: Lincoln Minerals Limited  Owner: Lincoln Minerals Limited (100%)	Eyre	Cu,U,Ag		Early Stage	Australia	South Australia	135.9431962	-34.33440139		93514.56	8225038.08	8225038.08			Lincoln strengthens portfoilio adding strategic tenement	Project Acquisition	  -   	https://app.mininghub.com/article/81958	Jonathon Trewartha, Chief Executive Officer		100%	of granted Exploration Licence EL7020 (to Lincoln Minerals)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.005		15/12/2024 15:22:59
Aruma Resources Limited	ASX:ORD	Operator: Aruma Resources Limited  Owner: Aruma Resources Limited (100%)	Fiery Creek	Cu		Advanced Exploration	Australia	Queensland	139.1823424	-18.97166961		32380.42	2442639.892	2442639.892			Aruma Completes Copper & Uranium Projects Acquisition	Project Acquisition	  199,300 	https://app.mininghub.com/article/67691	Glenn Grayson, Aruma Resources managing director		100%	Completion of acquisition of 100% of Wilan, Fiery Creek, and Bortala Projects (by Aruma)			-	-		#VALUE!		#VALUE!	265000	26500000	0.01		06/08/2024 16:39:31
Reed Exploration Pty Ltd	ASX:BTR	Operator: Reed Exploration Pty Ltd  Owner: Reed Exploration Pty Ltd (100%)	Forrestania	Ni,Li		Advanced Exploration	Australia	Western Australia	119.6675002	-32.26035891		20271.27	13609421.848				Completion of Sale of Forrestania Project	Project Acquisition	  -   	https://app.mininghub.com/article/85424	Ivan Vella, Managing Director and CEO			Exclusivity deed for potential divestment of Forrestania assets (by IGO, no % finalized)			350000	-		350000		#VALUE!	#VALUE!	-	0.265		28/01/2025 01:46:11
Minrex Resources Limited	ASX:ASE	Operator: Minrex Resources Limited  Owner: West Cobar Metals Limited (100%) Optioner: West Cobar Metals Limited, Optionee: Minrex Resources Limited	Fraser Range	Cu,Au	352,000 oz gold	Early Stage	Australia	Western Australia	122.7494959	-32.92161914		80969.85	2329034.994	8678940.024			MRR:Option Secured Over Fraser Range Copper-Gold Project, WA	Project Acquisition	  36,000 	https://app.mininghub.com/article/92447	Ian Shackleton, Technical Director		50%	Option to acquire 50% interest in Fraser Range Copper-Gold Project (by MinRex)			500000	350000		500000		#VALUE!	#VALUE!	-	0.011	0.5	25/03/2025 17:26:09
Leka II Shipping Limited	ASX:CNB	Operator: Leka II Shipping Limited  Owner: Leka II Shipping Limited (100%) NSR: Korab Resources Limited (10%) NSR: Korab Resources Limited (1%)	Geolsec	U		Advanced Exploration	Australia	Northern Territory	131.0061957	-13.03543857			2936400				Sale of Geolsec Mineral Lease update	Project Acquisition	  234 	https://app.mininghub.com/article/82601	Andrej K. Karpinski, Executive Chairman		100%	Sale of 100% of Geolsec mineral lease ML27362 (by Korab)			4350000	-		4350000		#VALUE!	#VALUE!	-	0.008	10	19/12/2024 23:27:17
Benz Mining Corp.	ASX:OD6	Operator: Benz Mining Corp.  Owner: Benz Mining Corp. (100%) Optioner: Mining Equities Pty Ltd , Optionee: Benz Mining Corp.	Glenburgh	Au	39.15 Mt @ 2.62 g/t Au, 3,302.0 Koz Au	Advanced Exploration	Australia	Western Australia	116.2331421	-25.34013661		94482.63	54322978	54322978	http://www.benzmining.com	http://www.benzmining.com	Benz Exercises Option over Strategic Ground Along Strike from the Glenburgh Gold Project	Project Acquisition	  89,800 	https://app.mininghub.com/article/87841	Evan Cranston, Benz Executive Chairman		100%	Sale of 100% of Glenburgh and Egerton Gold Projects (by Spartan to Benz Mining)			670000	-		670000		683500	13500	500000	0.027	0.75	13/02/2025 18:19:00
Valkea Resources Corp.	ASX:ICL	Operator: Valkea Resources Corp.  Owner: Valkea Resources Corp. (49%) Owner: S2 Resources Ltd (51%)	Glenfine	Au		Early Stage	Australia	Victoria	143.6138406	-37.8022762			40757219.37	9834939		https://www.outbackgoldfields.com	S2 acquires fourth new Gold Project in Victoria	Project Acquisition	  9,200 	https://app.mininghub.com/article/88831	Mark Bennett, Executive Chairman		51%	Earn-in to Valkea's 51% interest in Glenfine JV (by S2 Resources)			134000	140000		134000		#VALUE!	#VALUE!	-	0.21	2	23/02/2025 15:01:40
Great Pacific Gold Corp.	TSXV:GHM	Operator: Great Pacific Gold Corp.  Owner: Great Pacific Gold Corp. (100%)	Golden Mountain	Au		Early Stage	Australia	Victoria	145.8642701	-36.94504502		9904.46	36595419	36595419	https://fostervillesouth.com	https://fostervillesouth.com	Great Pacific Gold Announces Sale of Golden Mountain Project in Victoria, Australia	Project Acquisition	  -   	https://app.mininghub.com/article/87628	Greg McCunn, Chief Executive Officer and Director						234500	-		469000	234500	#VALUE!	#VALUE!	-		2	12/02/2025 15:30:00
Warriedar Resources Limited	ASX:COB	Operator: Warriedar Resources Limited  Owner: Warriedar Resources Limited (100%)	Golden Range	Au		Advanced Exploration	Australia	Western Australia	116.9591879	-28.95751956		45499.49	49757864.468	49757864.468			WA8: A$2M Cash From Non-Core Asset Sale	Project Acquisition	  -   	https://app.mininghub.com/article/65770	Dr Amanda Buckingham, Warriedar Managing Director and CEO		100%	Sale of 100% of Golden Range camp assets (by Warriedar)			1340000	-		1340000		#VALUE!	#VALUE!	-	0.115		22/07/2024 16:24:56
Macro Metals Limited	ASX:IMI	Operator: Macro Metals Limited  Owner: Macro Metals Limited (100%)	Goldsworthy East	Fe		Early Stage	Australia	Western Australia	119.5652248	-20.34701541			31659340.224	31659340.224			Exploration Licence for Goldsworthy East Granted	Project Acquisition	  -   	https://app.mininghub.com/article/70617	Simon Rushton, Managing Director		100%	of granted Exploration Licence 45/6365 (Goldsworthy East) (to Macro Metals)			-	1200000		#VALUE!		#VALUE!	#VALUE!	-	0.01		08/09/2024 16:56:10
Chalice Mining Limited	ASX:1AE	Operator: Chalice Mining Limited  Owner: Chalice Mining Limited (100%)	Gonneville	Ni,Cu,		Advanced Exploration	Australia	Western Australia	116.2248682	-31.51330564		34229.66	344288707.38	344288707.38			SVY: SVY Acquires Prospective WA Ni-Cu-Co Project	Joint Venture,Project Acquisition	  180,000 	https://app.mininghub.com/article/56120	Chris Cairns, Executive Chair and Managing Director		100%	Acquisition of 100% of North West Nickel Pty Ltd (holding Hawkstone Project) (by Stavely)			50000	-		1400000	1350000	#VALUE!	#VALUE!	-	1.22		22/05/2023 20:46:32
Ordell Minerals Limited	ASX:NFM	Operator: Ordell Minerals Limited  Owner: Ordell Minerals Limited (100%)	Goodia	Au		Early Stage	Australia	Western Australia	121.6241804	-32.27254096		17702.48	20130695.2	20130695.2			Ordell Consolidates Land Holding Around Goodia Project	Project Acquisition	  18,000 	https://app.mininghub.com/article/87350	Michael Fowler, Managing Director		100%	Acquisition of 100% of tenement E63/1953 (by Ordell Minerals)			-	-		#VALUE!	40000	#VALUE!	40000	125000	0.32		10/02/2025 15:14:06
Brightstar Resources Limited	ASX:TGN	Operator: Brightstar Resources Limited  Owner: Brightstar Resources Limited (100%) Optioner: Brightstar Resources Limited, Optionee: Cazaly Resources Limited	Goongarrie	Au	61,819 Kt @ 1.5 g/t Au containing 3,005 Koz	Early Stage	Australia	Western Australia	121.1935348	-30.00863624		7359.52	205310980.26	205310980.26			Cazaly exercise option for Goongarrie Gold Project JV	Project Acquisition	  7,000 	https://app.mininghub.com/article/92292	Alex Rovira, Brightstar’s Managing Director			Earn-in up to 80% of Goongarrie Gold Project (by Cazaly from Brightstar)			-	2100000		#VALUE!		#VALUE!	#VALUE!	-	0.625		24/03/2025 17:37:43
Astute Metals NL	ASX:GED	Owner: Astute Metals NL (100%)	Governor Broome	Heavy Minerals	127Mt @ 4.3% Heavy Minerals	Advanced Exploration	Australia	Western Australia	115.5092091	-34.27447284		16969.02	16424402.589	16424402.589			Completion of High-Grade Heavy Mineral Sands Acquisition	Project Acquisition,Marketing	  -   	https://app.mininghub.com/article/61626	Tony Leibowitz, Executive Chairman		100%	Completion of 100% acquisition of Fouracres tenement (R70/22) (by Astute)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.024		02/08/2023 19:00:37
Carnaby Resources Limited	ASX:SRZ	Operator: Carnaby Resources Limited  Owner: Carnaby Resources Limited (82.5%) Owner: Latitude 66 Limited (17.5%)	Greater Duchess	Cu,Au	26.9 Mt @ 0.2 g/t Au containing 208,300 Oz	Advanced Exploration	Australia	Queensland	139.7904929	-21.59869848		112791.74	54813326.16	54813326.16			Presentation - Trekelano Acquisition & Glencore Term Sheet	Metallurgy,Project Acquisition	  194,600 	https://app.mininghub.com/article/80243	Mr Robert Watkins, Managing Director		100%	Acquisition of 100% of Trekelano mine/tenements (by Carnaby)			6030000	-		17030000	11000000	24675161.06	18645161.06	54838709	0.34		27/11/2024 16:36:22
OD6 Metals Limited	TSX:EFR	Operator: OD6 Metals Limited  Owner: OD6 Metals Limited (100%)	Gulf Creek	Cu	2 to 3Mt of ore	Advanced Exploration	Australia	New South Wales	150.6875003	-30.1958335		2372.21	4936617.568	4936617.568			Completion of Acquisition of Gulf Creek Copper Project	Project Acquisition	  2,375 	https://app.mininghub.com/article/84054	Mr Brett Hazelden, Managing Director		100%	Completion of 100% acquisition of Gulf Creek Copper Project (by OD6)			150000	-		350000	200000	354000	204000	6000000	0.034		14/01/2025 16:12:43
Iceni Gold Limited	ASX:KAU	Operator: Iceni Gold Limited  Owner: Iceni Gold Limited (100%) Optioner: Iceni Gold Limited, Optionee: Gold Road Resources Limited	Guyer	Au		Advanced Exploration	Australia	Western Australia	122.0762619	-29.04137589		15409.76	22475639.967	22475639.967			Farm-in Deal with Gold Road for a Value up to A$44 million	Project Acquisition	  15,400 	https://app.mininghub.com/article/82295	Wade Johnson, Iceni Gold Managing Director			Farm-out to Gold Road, GOR to earn up to 80% of Guyer Project (from Iceni)			20000000	10500000		23500000	3500000	#VALUE!	#VALUE!	-	0.1		17/12/2024 17:34:42
Golden Horse Minerals Limited	ASX:ORP	Operator: Golden Horse Minerals Limited  Owner: Golden Horse Minerals Limited (100%)	Hakes Find	Au		Early Stage	Australia	Western Australia	119.327616	-31.32447562			10312950	10312950	http://www.altanrio.com	http://www.altanrio.com	Golden Horse Minerals Key Acquisition and Corporate Update	Project Acquisition	  170 	https://app.mininghub.com/article/74502	Nicholas Anderson, Managing Director & CEO						150000	-		1222000	1072000	#VALUE!	#VALUE!	-	0.495		11/10/2024 08:41:00
Cobalt Blue Holdings Limited	ASX:HOR	Operator: Cobalt Blue Holdings Limited  Owner: Auking Mining Limited (100%) Optioner: Auking Mining Limited, Optionee: Cobalt Blue Holdings Limited	Halls Creek	Cu,Pb,Zn,Ag,Au	89kt	Advanced Exploration	Australia	Western Australia	127.4776602	-18.35845347		24939.38	2873893.84	21534191.749			AuKing signs new Joint Venture for Koongie Park Project	Project Acquisition	  -   	https://app.mininghub.com/article/88031	Paul Williams, Managing Director			Farm-out to Cobalt Blue, COB to earn up to 75% of Koongie Park (from AuKing)			1340000	1400000		1474000	134000	1492777.79	152777.79	2777778	0.055	1	17/02/2025 17:06:47
Infinity Mining Limited	ASX:ICG	Operator: Infinity Mining Limited  Owner: Infinity Mining Limited (100%)	Harden	Cu,Au		Early Stage	Australia	New South Wales	148.3073643	-34.41202085		48723.31	5076189.324	5076189.324			Formal Agreements Signed on GMH and EVGE Acquisitions	Project Acquisition	  -   	https://app.mininghub.com/article/78235	Joe Phillips, Executive Chairman		100%	Completion of acquisition of 100% of GMH Resources (NSW) and Eastern Victoria Gold Exploration (by Infinity)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.009		04/11/2024 17:53:59
